filename	refID	dokID	shortTitle	title
nl-20190315-006.xml	lov/2019-03-15-6	NL/lov/2019-03-15-6	Verdipapirsentralloven	Lov om verdipapirsentraler og verdipapiroppgjør mv. (verdipapirsentralloven)
nl-20190322-007.xml	lov/2019-03-22-7	NL/lov/2019-03-22-7	Havbunnsmineralloven	Lov om mineralvirksomhet på kontinentalsokkelen (havbunnsmineralloven)
nl-20190329-008.xml	lov/2019-03-29-8	NL/lov/2019-03-29-8	Lov om en overgangsperiode ved Storbritannias uttreden av EU	Lov om en overgangsperiode ved Storbritannias uttreden av EU
nl-20190614-021.xml	lov/2019-06-14-21	NL/lov/2019-06-14-21	Arveloven	Lov om arv og dødsboskifte (arveloven)
nl-20190621-031.xml	lov/2019-06-21-31	NL/lov/2019-06-21-31	Sentralbankloven	Lov om Norges Bank og pengevesenet mv. (sentralbankloven)
nl-20190621-032.xml	lov/2019-06-21-32	NL/lov/2019-06-21-32	Statistikkloven	Lov om offisiell statistikk og Statistisk sentralbyrå (statistikkloven)
nl-20190621-062.xml	lov/2019-06-21-62	NL/lov/2019-06-21-62	Endringslov til reindriftsloven	Lov om endringer i reindriftsloven (tilgjengeliggjøring av reintall og obligatorisk individmerking)
nl-20190621-063.xml	lov/2019-06-21-63	NL/lov/2019-06-21-63	Lov om forbud mot hold av pelsdyr	Lov om forbud mot hold av pelsdyr
nl-20190621-068.xml	lov/2019-06-21-68	NL/lov/2019-06-21-68	Endringslov til veglova mv. (overføring av fylkesveiadministrasjon)	Lov om endringer i veglova mv. (overføring av fylkesveiadministrasjon)
nl-20190621-070.xml	lov/2019-06-21-70	NL/lov/2019-06-21-70	Havne- og farvannsloven	Lov om havner og farvann (havne- og farvannsloven)
nl-20191129-075.xml	lov/2019-11-29-75	NL/lov/2019-11-29-75	Lov om informasjonstilgang m.m. for Partnerdrapsutvalget	Lov om informasjonstilgang m.m. for Partnerdrapsutvalget
nl-20191213-083.xml	lov/2019-12-13-83	NL/lov/2019-12-13-83	Lov om opphevelse av omstillingslova	Lov om opphevelse av omstillingslova
nl-20191220-084.xml	lov/2019-12-20-84	NL/lov/2019-12-20-84	Endringslov til folketrygdloven og enkelte andre lover	Lov om endringer i folketrygdloven og enkelte andre lover
nl-20191220-085.xml	lov/2019-12-20-85	NL/lov/2019-12-20-85	Lov om informasjonstilgang mv. for NAV-granskingsutvalget	Lov om informasjonstilgang mv. for utvalget for ekstern gransking av saken knyttet til feilaktig praktisering av adgangen til å motta sykepenger, arbeidsavklaringspenger og pleiepenger ved opphold i et annet EØS-land
nl-20191220-103.xml	lov/2019-12-20-103	NL/lov/2019-12-20-103	Endringslov til spesialisthelsetjenesteloven og pasient- og brukerrettighetsloven	Lov om endringer i spesialisthelsetjenesteloven og pasient- og brukerrettighetsloven (lovfesting av systemet for nye metoder m.m.)
nl-20191220-109.xml	lov/2019-12-20-109	NL/lov/2019-12-20-109	Kredittopplysningsloven	Lov om behandling av opplysninger i kredittopplysningsvirksomhet (kredittopplysningsloven)
nl-20200327-012.xml	lov/2020-03-27-12	NL/lov/2020-03-27-12	Lov om Statens obligasjonsfond	Lov om Statens obligasjonsfond
nl-20200327-014.xml	lov/2020-03-27-14	NL/lov/2020-03-27-14	Lov om statlig garantiordning for lån til små og mellomstore bedrifter	Lov om statlig garantiordning for lån til små og mellomstore bedrifter
nl-20200327-015.xml	lov/2020-03-27-15	NL/lov/2020-03-27-15	Forretningshemmelighetsloven	Lov om vern av forretningshemmeligheter (forretningshemmelighetsloven)
nl-20200403-018.xml	lov/2020-04-03-18	NL/lov/2020-04-03-18	Endringslov til vegtrafikkloven (opplæring)	Lov om endringer i vegtrafikkloven (opplæring)
nl-20200417-023.xml	lov/2020-04-17-23	NL/lov/2020-04-17-23	Lov om midl. tilskuddsordning ved omsetningsfall	Lov om midlertidig tilskuddsordning for foretak med stort omsetningsfall
nl-20200417-029.xml	lov/2020-04-17-29	NL/lov/2020-04-17-29	Lov om god handelsskikk i dagligvarekjeden	Lov om god handelsskikk i dagligvarekjeden
nl-20200424-031.xml	lov/2020-04-24-31	NL/lov/2020-04-24-31	Trossamfunnsloven	Lov om tros- og livssynssamfunn (trossamfunnsloven)
nl-20200424-032.xml	lov/2020-04-24-32	NL/lov/2020-04-24-32	Endringslov til verdipapirhandelloven og pakkereiseloven	Lov om endringer i verdipapirhandelloven (forskriftshjemmel om tilbudsprisen ved pliktig tilbud) og lov om endringer i pakkereiseloven (forskriftshjemmel om forlengelse av frist for tilbakebetaling)
nl-20200507-037.xml	lov/2020-05-07-37	NL/lov/2020-05-07-37	Lov om medisinsk utstyr	Lov om medisinsk utstyr
nl-20200507-038.xml	lov/2020-05-07-38	NL/lov/2020-05-07-38	Rekonstruksjonsloven	Midlertidig lov om rekonstruksjon for å avhjelpe økonomiske problemer som følge av utbrudd av covid-19 (rekonstruksjonsloven)
